Date,Statement
1999-03-31,"The Bank of Canada today lowered its Bank Rate by of one per cent to 5 per cent. The associated operating band for overnight interest rates was similarly reduced. The Bank's target for the overnight rate is now 4 per cent, the centre of the new operating band. Today's interest rate reduction was taken in the context of continued improvement in global financial markets and recent evidence that the trend rate of inflation in Canada is close to the lower end of the Bank's target range of 1 to 3 per cent. This action by the Bank of Canada, along with three similar reductions in September, October, and November, completely reverses the one percentage point increase in short term interest rates that was needed to bolster investor confidence last August, at a time of nervous and volatile international markets. This final step in unwinding the interest rate increase of last August is also consistent with keeping the trend rate of inflation inside the target range. Notwithstanding the recent good set of economic indicators, the competitive global environment and the absence of any signs of pressure on domestic production capacity point to continued low inflation in Canada. The Bank's semi annual Monetary Policy Report, which will be released in mid May, will present a full analysis of the outlook for inflation. Background Information With the introduction on 4 February of the new Large Value Transfer System for making large value payments, the implementation of monetary policy has changed slightly. There is still an operating band of of one percentage point for the overnight rate. The top of the band, the Bank Rate, is the rate charged by the Bank on LVTS overdraft loans to financial institutions. The bottom of the band is the interest rate the Bank of Canada pays on any LVTS balances held overnight by those institutions. The Bank has a target for the overnight rate, which has been set at the centre of the operating band. With the interest rate reduction announced today, the operating band has been reduced by of one percentage point to a new range of 4 to 5 per cent. The Bank's target rate for the overnight rate is 4 per cent. It is through the market for overnight funds that monetary policy exerts a direct effect on financial markets generally."
1999-05-04,"The Bank of Canada today lowered its Bank Rate by of one per cent to 4 per cent. The associated operating band for overnight interest rates was similarly reduced. The Bank's target for the overnight rate is now 4 per cent, the centre of the new operating band. The situation in international financial markets has improved considerably in recent months however, there are still significant uncertainties facing the global economy. Economic growth in the United States continues to exceed expectations, but price and cost pressures in the U.S. economy continue to be contained by productivity gains and a competitive global environment. Inflation remains subdued worldwide. In Canada, economic activity has been showing signs of increased upward momentum, and domestic financial markets have taken a more positive tone. At the same time, the trend of inflation has remained at the lower end of the Bank of Canada's 1 to 3 per cent target range. Given the economic and financial backdrop, this interest rate reduction by the Bank will help to provide monetary conditions that would support continued economic expansion and keep the trend of inflation comfortably inside the target range next year."
1999-11-17,"The Bank of Canada today raised its Bank Rate by of one percentage point to 5 per cent. The operating band for overnight interest rates was correspondingly increased, and the Bank's target for the overnight rate is now 4 per cent. This action follows the decision yesterday by the U.S. Federal Reserve to raise its target level for the federal funds rate to 5 per cent. The Federal Reserve indicated that the expansion of activity in the U.S. economy continues in excess of its growth potential and expressed concern about the inflation risk. Given the implications of U.S. economic and financial developments for Canada, together with the recent evidence of robust domestic demand growth, this increase in interest rates by the Bank is designed to keep inflation well within the Bank's 1 to 3 per cent target range. In this way monetary policy continues to support a sustainable rate of growth in output and employment in Canada. The Bank's November Monetary Policy Report , to be published today, describes in detail the Bank's assessment of the trends in the economy over the next 18 months and the importance of taking timely action to preserve Canada's low inflation environment."
2000-02-03,"The Bank of Canada raised its Bank Rate today by of one percentage point to 5 per cent. The operating band for the overnight rate was correspondingly increased, and the Bank's target for the overnight rate is now 5 per cent. This increase in interest rates by the Bank, which follows the decision yesterday by the U.S. Federal Reserve Board to raise its target level for the federal funds rate to 5 per cent, is designed to keep the future trend of inflation well inside the Bank's 1 to 3 per cent target range so that the Canadian economy can continue to expand in a sustainable way. The factors behind this decision include the strong momentum of demand in the Canadian economy from both external and domestic sources, the importance of approaching the economy's full capacity in a prudent way, and the risk of a spillover of potential inflation pressures from the United States into Canada. U.S. economic and financial developments have an important impact on Canada, and the Bank gives full and careful consideration to that influence. Decisions by the Bank, however, are always taken on the basis of what is considered appropriate for the situation in Canada. The Bank will be issuing an Update to its November Monetary Policy Report in two weeks. That Update , to be included in the Bank of Canada's Winter Review , will provide a current assessment of the trends in the economy."
2000-03-22,"The Bank of Canada raised its Bank Rate today by of one percentage point to 5 per cent. The operating band for the overnight rate was correspondingly increased, and the Bank's target for the overnight rate is now 5 per cent. This increase in interest rates by the Bank of Canada follows the decision yesterday by the U.S. Federal Reserve Board to raise its target level for the federal funds rate to 6 per cent. In announcing its decision, the Federal Reserve expressed further concern that increases in demand will continue to exceed the growth of the U.S. economy's production capacity, posing inflation risks. Strong U.S. demand has been benefiting the Canadian export sector. Increased export sales, together with the robust momentum of domestic spending in Canada, have led to a more rapid economic expansion than expected. While the core measure of Canadian inflation remains in the lower half of the Bank's inflation control target range of 1 to 3 per cent, the strengthening pace of economic expansion has been rapidly absorbing production capacity and runs the risk of putting excessive pressure on capacity limits. In addition, the recent sharp rise in energy prices has pushed the increase in the total CPI to 2.7 per cent and is adding to input costs for other products. This adjustment in the Bank Rate is designed to resist any tendency for these developments to lead to an increase in the trend of inflation in Canada. It is by taking timely action, as required, to keep future inflation inside the 1 to 3 per cent target range that the Bank of Canada can help to ensure a sustainable expansion of economic activity and employment."
2000-05-17,"The Bank of Canada raised its target for the overnight rate by one half of one percentage point to 5 per cent. The operating band for the overnight rate was correspondingly increased, and the Bank Rate is now 6 per cent. In its latest Monetary Policy Report, released last week, the Bank took note of the strength of demand in Canada from both international and domestic sources, some early signs of pressures on capacity limits, and the need to lean against these trends in order to preserve the low and stable inflation environment that has been benefiting the Canadian economy. An important source of this strong growth in demand has been the U.S. economy. Yesterday s action by the U.S. Federal Reserve to raise its target level for the federal funds rate by 50 basis points underscores the strength of that economy and the continued risk of demand and inflation pressures spilling over from the United States into Canada. This move by the Bank of Canada reflects the judgment that a tightening in monetary conditions in Canada is warranted, given that the underlying momentum of demand growth and the high levels of activity risk putting excessive pressure on the economy s capacity limits, and thus on inflation. It is through the Bank s commitment to a low and stable inflation environment that monetary policy can best contribute to sustained economic expansion in Canada, which will increase the likelihood of lower unemployment and improved productivity."
2000-12-05,"The Bank of Canada today announced that it is maintaining the Bank Rate at 6 per cent. The operating band for the overnight rate is unchanged, and the Bank's target for the overnight rate remains at 5 3/4 per cent. In making this decision, the Bank took into account a number of factors bearing on the future trend of inflation. Economic data continue to indicate that the rate of expansion of output is above the Canadian economy's long run growth potential. While external demand for Canadian products has moderated, reflecting the recent slowing in the United States economy, growth in domestic demand remains robust. The latest information on consumer price inflation was broadly in line with the Bank's expectations. In October, core inflation moved up slightly to 1.5 per cent, remaining in the lower half of the Bank's 1 to 3 per cent inflation control target range. The rate of increase in the total consumer price index remained close to the top end of the target range, reflecting the sharp increase in energy prices over the past year. Monetary conditions have supported the growth of aggregate demand, and pressures on the economy's production capacity are expected to increase. At the same time, as pointed out in the November Monetary Policy Report , the economy's ability to expand without generating rising inflationary pressures could be greater than estimated. Accordingly, the Bank will continue to assess carefully the balance of aggregate demand and supply in the economy and the risks to the future trend of inflation. The Bank will also pay close attention to any signs that higher energy prices are being passed through to other prices in the economy and to inflation expectations, as well as to any potential inflationary effect from the lower Canadian dollar. In the Bank's judgment, the factors at work in the economy point to core inflation rising to the midpoint of the target range over the coming year."
2001-01-23,"The Bank of Canada today announced that it is lowering the Bank Rate by one quarter of one percentage point to 5 3/4 per cent. The operating band for the overnight rate is correspondingly lowered, and the Bank's target for the overnight rate is reduced to 5 1/2 per cent. The Bank's action was taken in light of a number of considerations bearing on the Canadian economic outlook and the future trend of inflation, in particular the slowdown in the United States. Over recent months the underlying momentum of the Canadian economy has remained solid, bolstered by stronger than expected growth in domestic demand, and the economy has been operating close to full capacity. Information on consumer price inflation for December released last week indicates that core inflation, at 1.9 per cent, has moved up near the midpoint of the Bank's 1 to 3 per cent inflation control target range sooner than expected. The rate of increase in the total CPI has remained above the top end of the target range, reflecting the large increases in energy prices over the past year. Recent information indicates that the outlook for the U.S. economy has weakened more abruptly than had been anticipated. This development, together with other information received since the Bank's Monetary Policy Report last November, suggests that growth in Canadian output this year is likely to slow to a rate close to potential growth, whereas three months ago economic growth was expected to be above potential. In the Bank's judgment, today's interest rate reduction will help maintain a balance between aggregate demand and supply in the economy and keep core inflation near the 2 per cent midpoint of the target range. The Bank projects that inflation measured by the total CPI will move down to a rate close to core inflation in the second half of this year, on the assumption that world energy prices stabilize at or below present levels. Given current uncertainties, the Bank will continue to closely watch evolving domestic and external economic developments with a view to preserving the low inflation environment that has benefited the Canadian economy."
2001-03-06,"The Bank of Canada today announced that it is lowering the Bank Rate by one half of one percentage point to 5 1/4 per cent. The operating band for the overnight rate is correspondingly lowered, and the Bank's target for the overnight rate is reduced to 5 per cent. Since 23 January, the Bank's last fixed announcement date, there have been indications that the slowdown in the U.S. economy in the first half of 2001 could be more pronounced than expected, and there is a risk that weakening confidence could delay the U.S. recovery. In Canada, recent information suggests that the positive underlying momentum in the economy at the end of 2000 was somewhat less strong than had been previously estimated, and that pressures on productive capacity and inflation are lower as a result. Today's action was taken in light of these developments and related uncertainties. The reduction in interest rates, together with rising disposable incomes bolstered by recent tax reductions, will help to underpin domestic demand. The Bank remains of the view that the overall pace of economic activity in Canada will rebound in the second half of the year. This will lead to a level of economic activity that is consistent with maintaining the core rate of inflation close to 2 per cent, the midpoint of the Bank's 1 to 3 per cent inflation control target range. Assuming that world energy prices remain around current levels, the Bank continues to expect that the annual rate of increase in the total CPI will move down to about 2 per cent in the second half of this year."
2001-04-17,"The Bank of Canada today announced that it is lowering the Bank Rate by one quarter of one percentage point to 5 per cent. The operating band for the overnight rate 1 is correspondingly lowered, and the Bank's target for the overnight rate is reduced to 4 3/4 per cent. Since late 2000, the pace of economic expansion in Canada has slowed to a rate below the economy's long run growth potential. Information received since 6 March, the Bank's last fixed announcement date, confirms that this slowing is broadly in line with the Bank's expectations. The slowdown has largely been a consequence of the marked easing in the pace of U.S. economic growth, while final domestic demand has maintained its underlying momentum. Overall, the Canadian economy is expected to be operating somewhat below capacity by the middle of 2001, putting downward pressure on inflation. Core inflation, currently 2 per cent, is thus expected to ease. The rate of increase in the total CPI, currently close to 3 per cent, is expected to move down to 2 per cent by the end of 2001. In light of the slowing pace of growth and the movement towards a position of excess supply, today's interest rate reduction, together with earlier reductions announced in January and March, is intended to support growth in aggregate demand, consistent with the Bank's policy objective of keeping inflation close to the midpoint of its 1 to 3 per cent target range over the medium term. It remains the Bank's view that, following the slowdown in the first half of this year, Canada's economic growth will strengthen in the second half and in 2002. This expected pickup reflects a number of factors, including completion of the current inventory adjustment, continuing investment in new technology, recent tax cuts, the easing in domestic monetary conditions and, most importantly, the resumption of stronger U.S. economic growth. Given the uncertainties related to the timing and strength of the U.S. rebound, the Bank will continue to monitor developments closely."
