Date,Statement
1999/12/15,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 3.0%, 4.0% and 2.0%, respectively."
1999/12/2,"At today's meeting the Governing Council of the ECB took the following monetary policy decisions:                 The interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 3.0%, 4.0% and 2.0% respectively.         The reference value for the annual growth rate of the broad monetary aggregate M3 will remain 4?%.                 The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today."
1999/11/18,"At today's meeting (which was held in the form of a teleconference), the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 3.0%, 4.0% and 2.0%, respectively."
1999/11/4,"At today's meeting the Governing Council of the ECB took the following monetary policy decisions:                  The interest rate on the main refinancing operations of the Eurosystem will be raised by 0.5 percentage point to 3%, with effect from the operation to be settled on 10 November 1999.         The interest rate on the marginal lending facility will be raised by 0.5 percentage point to 4%, with effect from 5 November 1999.         The interest rate on the deposit facility will be raised by 0.5 percentage point to 2%, with effect from 5 November 1999.                 The President of the ECB will comment on the considerations underlying these decisions at a press conference  starting at 2.30 p.m. today."
1999/10/21,"At today's meeting the Governing Council of the ECB took the following decisions:                 The interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively.        For the longer-term refinancing operations to be settled on 28 October 1999, 25 November 1999 and 23 December 1999, the intention is to allot an amount of EUR 25 billion per operation. This amount is higher than the amount of EUR 15 billion allotted for all previous longer-term refinancing operations conducted in 1999. This decision takes into account the intention of the ECB to contribute to a smooth transition to the year 2000."
1999/10/7,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively.     The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today."
1999/9/23,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively."
1999/9/9,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively.     The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2 p.m. today."
1999/8/26,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively."
1999/7/29,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively."
1999/7/15,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively.     The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2 p.m. today."
1999/7/1,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively."
1999/6/17,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively."
1999/6/2,"At today's meeting, the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5%, respectively.     The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2 p.m. today."
